ID_compound,SMILES,Common_name,Biological Activity,Pathogen,Category,IC50 (µM),Experiment Type,IC50(µg/ml),CC50,Ki,EC50_invitro,EC50_viral,% Inhibition,Tested at [C],Molecular Weight,Origin,Formula,Family,Sub_family,Nature,Reference,ID_ref,PUBCHEM_CID
1,C[C@@H](NC(=O)c1c(C)ccc(N)c1)c1cccc2c1cccc2,,Active,SARS_CoV-2,PLpro_cov-2,,,,,,,,,,304.39,,C20H20N2O,,,,7CJM.pdb,,
2,CCOC(=O)C1=C(SC(=C1C2=CC=CC=C2)C(C(F)(F)F)(C(F)(F)F)O)N,,Active,SARS_CoV,3CLpro_cov,,,,,,,,12.33,6 µM,413.34,,C16H13F6NO3S,,,,AID_1706,,2320755
3,CCC1=NC=CC(=C1)C(=S)N,,Inactive,SARS_CoV,3CLpro_cov,,,,,,,,0.78,6 µM,166.25,,C8H10N2S,,,,AID_1706,,2761171
4,COC1=CC=C(C=C1)N(CC2=CC3=CC=CC=C3NC2=O)S(=O)(=O)C4=CC=C(C=C4)OC,,Active,SARS_CoV,3CLpro_cov,,,,,,,,15.77,6 µM,450.52,,C24H22N2O5S,,,,AID_1706,,4900532
5,O=C(Cn1nnc2ccccc21)c1ccc(Cl)cc1,,Active,SARS_CoV,3CLpro_cov,9.908,Enzymo,,,,,,,,271.71,,C14H10ClN3O,,,,AID_1890,,677475
6,CC1=CC=C(C=C1)N2C(=CC(=C2C)/C=N/NC(=S)N)C,,Active,SARS_CoV,PLpro_cov,,,,,,,,,,286.4,,C15H18N4S,,,,AID_652038,,5346381
7,CN(C)CCCSC1=CC=CC=C1NC(=O)/C=C/C2=CC=CC=C2,cinanserin,Active,SARS_CoV,3CLpro_cov,4.92,Enzymo,,,,31,,,,340.49,,C20H24N2OS,,,,10.1128/JVI.79.11.7095–7103.2005,,
8,C1=CC=C(C=C1)CN2C=C(C(=N2)C3=CN=CC=C3)C=O,,Active,SARS_CoV,3CLpro_cov,,,,,,,,39.48,6 µM,263.3,,C16H13N3O,,,,AID_1706,,2497380
9,CSC1=CC=CC(=C1)NC(=O)CC2=CC=CC=C2[N+](=O)[O-],,Active,SARS_CoV,3CLpro_cov,,,,,,,,13.64,6 µM,302.36,,C15H14N2O3S,,,,AID_1706,,951610
10,C(NC(=O)c1ccn(C)n1)[C@@H]1CCCO1,,Active,SARS_CoV-2,3CLpro_cov-2,,,,,,,,,,209.25,,C10H15N3O2,,,,5rfa.pdb,,
11,CC1=CC=C(C=C1)/C=C/C(=O)C2=C(C=CC(=C2)Br)OC(=O)C3=CC=CO3,,Active,SARS_CoV,3CLpro_cov,,,,,,,,23.1,6 µM,411.25,,C21H15BrO4,,,,AID_1706,,5735038
12,CN1C(=CN=C1COC(=O)N)[N+](=O)[O-],,Inactive,SARS_CoV,3CLpro_cov,,,,,,,,0.79,6 µM,200.15,,C6H8N4O4,,,,AID_1706,,5094
