ID_compound,SMILES,Common_name,Biological Activity,Pathogen,Category,IC50 (µM),Experiment Type,IC50(µg/ml),CC50,Ki,EC50_invitro,EC50_viral,% Inhibition,Tested at [C],Molecular Weight,Origin,Formula,Family,Sub_family,Nature,Reference,ID_ref,PUBCHEM_CID
1,C1=CC=C2C(=C1)C3=C(N2O)C(=NC=C3)C4=NC(=NC=C4)N,N-hydroxyannomontine,Active,Leishmania,Extracellular,252.7 ±2.2,,,,,,,,,277.287,Annona fetida (Annonaceae),C15H11N5O,alkaloid,isoquinoline Alkaloid,natural,10.1021/cr400552x,1,
2,C1=CC=C2C(=C1)C3=C(N2O)C(=NC=C3)C4=NC(=NC=C4)N,N-hydroxyannomontine,Active,Leishmania,Extracellular,437.5 ±2.5,,,,,,,,,277.287,Annona fetida (Annonaceae),C15H11N5O,alkaloid,isoquinoline Alkaloid,natural,10.1021/cr400552x,1,
3,"c1ccc2c(c1)c3ccnc(c3[nH]2)c4ccnc(n4)N
",Annomontine,Active,Leishmania,Extracellular,34.8 ±1.5,,,,,,,,,261.288,Annona fetida (Annonaceae),C15H11N5,alkaloid,isoquinoline alkaloid,natural,10.1021/cr400552x,2,
4,CN1CCC2=CC3=C(C4=C2[C@@H]1CC5=CC6=C(C=C54)OCO6)OCO3,neolitsine,Active,Leishmania,Extracellular,15,,,,,,,,,323.348,Guatteria dumetorum (Annonaceae),C19H17NO4,alkaloid,isoquinoline alkaloid,Natural,"10.1021/cr400552x;
    10.1055/s-2005-916179",3,
5,CN1CCC2=CC3=C(C4=C2[C@@H]1CC5=CC6=C(C=C54)OCO6)OCO3,neolitsine,Active,Leishmania,Extracellular,>300,,,,,,,,,323.348,Guatteria dumetorum (Annonaceae),C19H17NO4,alkaloid,isoquinoline alkaloid,Natural,"10.1021/cr400552x;
    10.1055/s-2005-916179",3,
6,O1c2c(OC1)c5c3c(c2)CCNC3Cc6cc4OCOc4cc56,cryptodorine,Active,Leishmania,Extracellular,3 ±0.65,,,,,,,,,309.321,Guatteria dumetorum (Annonaceae),C18H15NO4,alkaloid,isoquinoline alkaloid,Natural,10.1021/cr400552x,4,
7,O1c2c(OC1)c5c3c(c2)CCNC3Cc6cc4OCOc4cc56,cryptodorine,Active,Leishmania,Extracellular,6  ±0.08,,,,,,,,,309.321,Guatteria dumetorum (Annonaceae),C18H15NO4,alkaloid,isoquinoline alkaloid,Natural,10.1021/cr400552x,4,
8,O1c2c(OC1)c5c3c(c2)CCNC3Cc6cc4OCOc4cc56,cryptodorine,Active,Leishmania,Extracellular,>300,,,,,,,,,309.321,Guatteria dumetorum (Annonaceae),C18H15NO4,alkaloid,isoquinoline alkaloid,Natural,10.1021/cr400552x,4,
9,COc1cc3c(cc1OC)C(O)C5c4c(cc2OCOc2c34)CCN5C,duguetine,Active,Leishmania,Extracellular,4.32,,,,,,,,,355.39," stem bark of
Duguetia furfuracea (Annonaceae)",C20H21NO5,alkaloid,isoquinoline alkaloid,Natural,"10.1021/cr400552x;
   10.1016/j.phymed.2009.03.019 ",5,
10,[H][C@]3(O)c1cc(OC)c(OC)cc1c5c2OCOc2cc4CCN(C)(=O)C3c45,duguetine-beta-N-oxide,Active,Leishmania,Extracellular,0.11,,,,,,,,,371.389,Duguetia furfuracea (Annonaceae),C20H21NO6,alkaloid,isoquinoline alkaloid,Natural,"10.1021/cr400552x;
   10.1016/j.phymed.2009.03.019 ",6,
