PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,HTS FI Ex560_Em590,HTS Mean Max,HTS Mean Min,HTS % Inhibition Run 1,HTS % Inhibition Run 2,Average % Inhibition Run 1 & Run 2,Stdev % Inhibition Run 1 & Run 2,HTS assay Z-factor,HTS Assay Date,label
1,842717,644992,CC1=NNC2=CC=CC3=C(C=CC1=C32)OC,Active,50,http://pmlsc.pitt.edu,,837.625,8670.7,660.303,97.7515,97.8192,97.7853,0.0478617,0.775643,Mar 20 2008,1
2,843042,645317,CC1=NN=C(C2=CC=CC=C12)NC3=CC=CC=N3,Active,50,http://pmlsc.pitt.edu,,1444.68,8411.44,646.801,90.0439,89.4022,89.7231,0.453756,0.826582,Mar 20 2008,1
3,846246,3066411,COC1=C(C=C(C=C1)C(=O)C(CN2CCOCC2)C3=CC=CC=C3)F.Cl,Active,50,http://pmlsc.pitt.edu,,1745.21,8284.98,649.846,86.5075,84.8569,85.6822,1.16712,0.744386,Mar 20 2008,1
4,846436,648825,CC1=CC(=C2C(=C1)C3=CC(=NN3C(N2)C4=CC5=C(C=C4)OCO5)C)C,Active,50,http://pmlsc.pitt.edu,,2479.68,8411.44,646.801,75.6582,77.1364,76.3973,1.04525,0.826582,Mar 20 2008,1
5,849758,652264,CC1=CC2=C(C=C1)NC(N3C2=CC(=N3)C)C4=CC5=C(C=C4)OCO5,Active,50,http://pmlsc.pitt.edu,,1047.49,8284.98,649.846,95.0422,94.5585,94.8003,0.34204,0.744386,Mar 20 2008,1
6,855695,298107,CN(C)CCOC1=CC=CC=C1CC2=CC=CC=C2.C(C(=O)O)C(CC(=O)O)(C(=O)O)O,Active,50,http://pmlsc.pitt.edu,,1470.29,8031.8,657.346,87.5867,90.2737,88.9302,1.89999,0.567865,Mar 20 2008,1
7,855848,457964,C[C@]12CC[C@H]([C@@]([C@@H]1CC[C@@H]3[C@@]24CC[C@@]([C@H](C3)C4)(CO)O)(C)CO)O,Active,50,http://pmlsc.pitt.edu,,1026.8,8284.98,649.846,94.9681,95.1513,95.0597,0.129592,0.744386,Mar 20 2008,1
8,856169,657546,C1CCC2(CC1)N=C3C=C(C=CC3=[N+]2[O-])NC4=CC=CC=C4,Active,50,http://pmlsc.pitt.edu,,3368.59,8670.7,660.303,62.7923,69.3858,66.089,4.66227,0.775643,Mar 20 2008,1
9,858016,6603247,C1CC2=C(C1)N(C3=C(C2=N)CCC3)CC4=CC=CC=C4.Cl,Active,50,http://pmlsc.pitt.edu,,1076.41,8284.98,649.846,94.4763,94.3543,94.4153,0.0862703,0.744386,Mar 20 2008,1
10,858823,660130,COC1=CC(=CC(=C1OC)OC)C2=C(C(=NC(=C2C#N)SCC3=CC=NC=C3)N)C#N,Active,50,http://pmlsc.pitt.edu,,3746.81,8670.7,660.303,61.6537,61.2948,61.4742,0.253842,0.775643,Mar 20 2008,1
11,862881,6603672,C1CN2CCC1C(=O)C2CC3=CC=C(C=C3)OCCOC4=CC=CC=C4.Cl,Active,50,http://pmlsc.pitt.edu,,930.113,8670.7,660.303,96.669,96.5967,96.6329,0.0510922,0.775643,Mar 20 2008,1
12,864463,665709,C1=CC=C(C=C1)C2=NNC(=C2)C3=NN=C4N3N=C(S4)C5=CC=CC=N5,Active,50,http://pmlsc.pitt.edu,,4299.54,8031.8,657.346,50.3635,50.8415,50.6025,0.338018,0.567865,Mar 20 2008,1
13,865223,6602747,COC(=O)C1=CC=C(C=C1)C2=CC=C(O2)CNCC(C3=CC=CC=C3)O.Cl,Active,50,http://pmlsc.pitt.edu,,4236.32,8670.7,660.303,54.8796,55.8075,55.3436,0.656138,0.775643,Mar 20 2008,1
14,865819,6602722,CSC1=CC=C(C=C1)CNC2CN3CCC2CC3.Cl,Active,50,http://pmlsc.pitt.edu,,3286.51,8284.98,649.846,67.6046,63.4718,65.5382,2.92234,0.744386,Mar 20 2008,1
15,865921,667179,C1CN2C(CN1C3=CC=CC=C3)C4(CC5=CC=CC=C52)C(=O)C6=CC=CC=C6C4=O,Active,50,http://pmlsc.pitt.edu,,3164.56,8284.98,649.846,68.5054,65.7189,67.1122,1.97039,0.744386,Mar 20 2008,1
16,3711271,135415380,CCCC1=NNC2=C1/C(=N/O)/CC(C2)C3=CC=CC=C3,Active,50,http://pmlsc.pitt.edu,,3778.48,8284.98,649.846,60.4414,57.6999,59.0706,1.93851,0.744386,Mar 20 2008,1
17,3715970,2999424,CC1=NOC2=C1C(C3=C(N2)CCCC3=O)C4=CC=C(C=C4)OCC5=CC=C(C=C5)C(=O)OC,Active,50,http://pmlsc.pitt.edu,,4108.09,8284.98,649.846,56.1406,53.3677,54.7542,1.96073,0.744386,Mar 20 2008,1
