,ID_compound,SMILES,Common Name,Biological Activity,Pathogen,Category,IC50 (µM),IC50(µg/ml),% Inhibition,Tested at [C],Molecular Weight,Formula,Reference,PUBCHEM_CID
0,1,C1=CC=C2C(=C1)C3=C(N2O)C(=NC=C3)C4=NC(=NC=C4)N,N-hydroxyannomontine,Active,Leishmania,Extracellular,252.7 ±2.2,,,,277.29,C15H11N5O,10.1021/cr400552x,
1,2,C1=CC=C2C(=C1)C3=C(N2O)C(=NC=C3)C4=NC(=NC=C4)N,N-hydroxyannomontine,Active,Leishmania,Extracellular,437.5 ±2.5,,,,277.29,C15H11N5O,10.1021/cr400552x,
2,3,"c1ccc2c(c1)c3ccnc(c3[nH]2)c4ccnc(n4)N
",Annomontine,Active,Leishmania,Extracellular,34.8 ±1.5,,,,261.29,C15H11N5,10.1021/cr400552x,
3,4,CN1CCC2=CC3=C(C4=C2[C@@H]1CC5=CC6=C(C=C54)OCO6)OCO3,neolitsine,Active,Leishmania,Extracellular,15,,,,323.35,C19H17NO4,"10.1021/cr400552x;
    10.1055/s-2005-916179",
4,5,CN1CCC2=CC3=C(C4=C2[C@@H]1CC5=CC6=C(C=C54)OCO6)OCO3,neolitsine,Active,Leishmania,Extracellular,>300,,,,323.35,C19H17NO4,"10.1021/cr400552x;
    10.1055/s-2005-916179",
5,6,O1c2c(OC1)c5c3c(c2)CCNC3Cc6cc4OCOc4cc56,cryptodorine,Active,Leishmania,Extracellular,3 ±0.65,,,,309.32,C18H15NO4,10.1021/cr400552x,
6,7,O1c2c(OC1)c5c3c(c2)CCNC3Cc6cc4OCOc4cc56,cryptodorine,Active,Leishmania,Extracellular,6  ±0.08,,,,309.32,C18H15NO4,10.1021/cr400552x,
7,8,O1c2c(OC1)c5c3c(c2)CCNC3Cc6cc4OCOc4cc56,cryptodorine,Active,Leishmania,Extracellular,>300,,,,309.32,C18H15NO4,10.1021/cr400552x,
8,9,COc1cc3c(cc1OC)C(O)C5c4c(cc2OCOc2c34)CCN5C,duguetine,Active,Leishmania,Extracellular,4.32,,,,355.39,C20H21NO5,"10.1021/cr400552x;
   10.1016/j.phymed.2009.03.019 ",
9,10,[H][C@]3(O)c1cc(OC)c(OC)cc1c5c2OCOc2cc4CCN(C)(=O)C3c45,duguetine-beta-N-oxide,Active,Leishmania,Extracellular,0.11,,,,371.39,C20H21NO6,"10.1021/cr400552x;
   10.1016/j.phymed.2009.03.019 ",
10,11,COc3cc2c(=O)c5nccc4cc1OCOc1c(c2cc3OC)c45,dicentrinona,Active,Leishmania,Extracellular,0.01,,,,335.32,C19H13NO5,"10.1021/cr400552x;
   10.1016/j.phymed.2009.03.019 ",
11,12,COc4ccc3CC2c1cc(OC)c(OC)cc1C=C[NH+]2Cc3c4OC,N-methylte-trahydropalmatine,Active,Leishmania,Extracellular,17.03,,,,354.43,C21H24NO4+,"10.1021/cr400552x;
   10.1016/j.phymed.2009.03.019 ",
12,13,COC1=CC2=C(CC1OC)c4c(OC)c(OC)cc3CC[N+](C)(C)C(C2)c34,N-methylglaucine,Active,Leishmania,Extracellular,4.88,,,,372.48,C22H30NO4+,"10.1021/cr400552x;
   10.1016/j.phymed.2009.03.019 ",
13,14,COc1ccc3c(c1)cc5NCCc4cc2OCOc2c3c45,"Xylopine  
",Active,Leishmania,Extracellular,3 ±0.27,,,,293.32,C18H15NO3,"10.1021/cr400552x;
   10.1055/s-2003-41126 ",
14,15,COc1ccc3c(c1)cc5NCCc4cc2OCOc2c3c45,"Xylopine  
",Active,Leishmania,Extracellular,6 ±0.07,,,,293.32,C18H15NO3,"10.1021/cr400552x;
   10.1055/s-2003-41126 ",
15,16,COc1ccc3c(c1)cc5NCCc4cc2OCOc2c3c45,"Xylopine  
",Active,Leishmania,Extracellular,112 ±0.2,,,,293.32,C18H15NO3,"10.1021/cr400552x;
   10.1055/s-2003-41126 ",
16,17,COc1cc2c3c(c1OC)-c4ccccc4C[C@@H]3NCC2,nornuciferine,Active,Leishmania,Extracellular,14 ±1.0,,,,281.36,C18H19NO2,"10.1021/cr400552x;
   10.1055/s-2003-41126 ",
17,18,COc1cc2c3c(c1OC)-c4ccccc4C[C@@H]3NCC2,nornuciferine,Active,Leishmania,Extracellular,28 ±11.3,,,,281.36,C18H19NO2,"10.1021/cr400552x;
   10.1055/s-2003-41126 ",
18,19,COc1cc2c3c(c1OC)-c4ccccc4C[C@@H]3NCC2,nornuciferine,Active,Leishmania,Extracellular,> 40,,,,281.36,C18H19NO2,"10.1021/cr400552x;
   10.1055/s-2003-41126 ",
19,20,COc1cc2c3c(c1OC)-c4cc5c(cc4CC3NCC2)OCO5,"nornantenine
",Active,Leishmania,Extracellular,24 ±0.03,,,,325.36,C19H19NO4,"10.1021/cr400552x;
   10.1055/s-2003-41126 ",
20,21,COc1cc2c3c(c1OC)-c4cc5c(cc4CC3NCC2)OCO5,"nornantenine
",Active,Leishmania,Extracellular,15 ±0.45,,,,325.36,C19H19NO4,"10.1021/cr400552x;
   10.1055/s-2003-41126 ",
21,22,COc1cc2c3c(c1OC)-c4cc5c(cc4CC3NCC2)OCO5,"nornantenine
",Active,Leishmania,Extracellular,> 40,,,,325.36,C19H19NO4,"10.1021/cr400552x;
   10.1055/s-2003-41126 ",
22,23,COc4cc(OC)c3c[n+]2CCc1cc(O)c(OC)cc1c2cc3c4,,Inactive,Leishmania,Intracellular,,,,,338.38,C20H20NO4+,"10.1021/cr400552x;
   10.1055/s-2003-41126 ",
23,24,COc4cc3C[C@H](C)[N+](c1ccc(OC)c2c(OC)cc(C)cc12)=C(C)c3c(OC)c4,"ancistrocladinium A 
",Active,Leishmania,Extracellular,4.90 ±2.93,2.61,,,420.53,C26H30NO4+,"10.1021/cr400552x;
   10.1128/AAC.00936-06 ",
24,25,COc4cc3C[C@H](C)[N+](c1ccc(OC)c2c(OC)cc(C)cc12)=C(C)c3c(OC)c4,"ancistrocladinium A 
",Active,Leishmania,Extracellular,31.76 ±4.75,,,,420.53,C26H30NO4+,"10.1021/cr400552x;
   10.1128/AAC.00936-06 ",
25,26,COc2cc1C[C@H](C)N=C(C)c1c(OC)c2c4c(C)cc3cccc(OC)c3c4O,ancistrocladidine,Active,Leishmania,Extracellular,,2.9,,,405.49,C25H27NO4,10.1021/cr400552x,
26,27,COc3cc(OC)c(c1ccc(OC)c2c(OC)cc(C)cc12)c4C[C@H](C)N=C(C)c34,ancistrotanzanine B,Active,Leishmania,Extracellular,3.81,1.6,,,419.52,C26H29NO4,10.1021/cr400552x,
27,28,COc3cc(OC)c(c2c(C)cc1cccc(OC)c1c2O)c4C[C@H](C)N=C(C)c34,ancistrotanazanine A,Active,Leishmania,Extracellular,,1.6,,,405.49,C25H27NO4,10.1021/cr400552x,
28,29,[H][C@]3(CC)CN2CCc1cc(O)c(OC)cc1[C@]2([H])C[C@]3([H])C[C@@]5(O)NCCc4cc(O)c(OC)cc45,klugine,Active,Leishmania,Extracellular,,0.4,,,468.59,C27H36N2O5,10.1021/cr400552x,
29,30,[H][C@]3(CC)CN2CCc1cc(OC)c(OC)cc1[C@]2([H])C[C@]3([H])CC5NCCc4cc(O)c(OC)cc45,cephaeline,Active,Leishmania,Extracellular,,0.03,,,466.62,C28H38N2O4,10.1021/cr400552x,
30,31,CN1CCc2cc(c3cc2C1Cc4ccc(c(c4)-c5cc(ccc5O)CC6c7c(cc(c(c7O3)OC)OC)CCN6C)OC)OC,"funiferine 
",Active,Leishmania,Extracellular,0.53 ±0.09,,,,622.76,C38H42N2O6,"10.1021/cr400552x;
   10.1002/ptr.929  ",
31,32,[H][C@@]46Cc1ccc(OC)c(c1)c2cc(ccc2O)C[C@@]7([H])c3c(cc(OC)c(O)c3Oc5cc4c(cc5OC)CCN6C)CCN7C,tiliageine,Active,Leishmania,Extracellular,0.79 ±0.05,,,,608.74,C37H40N2O6,"10.1021/cr400552x;
   10.1002/ptr.929  ",
