,smiles,chemical_name,common_name,formula,weight,origin,nature,family,sub_family,active_or_inactive,refs
0,C1=CC=C2C(=C1)C3=C(N2O)C(=NC=C3)C4=NC(=NC=C4)N,1-(2-Amino-4-pyrimidinyl)-9H-beta-carbolin-9-ol,N-hydroxyannomontine,C15H11N5O,277.281,Annona fetida (Annonaceae),natural,alkaloid,isoquinoline Alkaloid,,10.1021/cr400552x
1,"c1ccc2c(c1)c3ccnc(c3[nH]2)c4ccnc(n4)N
",4-(9H-beta-Carbolin-1-yl)-2-pyrimidinamine,Annomontine,C15H11N5,261.281,Annona fetida (Annonaceae),natural,alkaloid,isoquinoline alkaloid,inactive against L. guyanensis promastigotes,10.1021/cr400552x
2,CN1CCC2=CC3=C(C4=C2[C@@H]1CC5=CC6=C(C=C54)OCO6)OCO3,"(7aS)-7-Methyl-6,7,7a,8-tetrahydro-5H-bis[1,3]benzodioxolo[6,5,4-de:5,6-g]quinoline",neolitsine,C19H17NO4,323.343,Guatteria dumetorum (Annonaceae),Natural,alkaloid,isoquinoline alkaloid,,"10.1021/cr400552x;
    10.1055/s-2005-916179"
3,O1c2c(OC1)c5c3c(c2)CCNC3Cc6cc4OCOc4cc56,"6,7,7a,8-Tetrahydro-5H-bis[1,3]benzodioxolo[6,5,4-de:5',6'-g]quinoline",cryptodorine,C18H15NO4,309.316,Guatteria dumetorum (Annonaceae),Natural,alkaloid,isoquinoline alkaloid,,10.1021/cr400552x
4,COc1cc3c(cc1OC)C(O)C5c4c(cc2OCOc2c34)CCN5C ,"
",duguetine,C20H21NO5,355.3900000000002," stem bark of
Duguetia furfuracea (Annonaceae)",Natural,alkaloid,isoquinoline alkaloid,,10.1016/j.phymed.2009.03.019;10.1021/cr400552x
5,[H][C@]3(O)c1cc(OC)c(OC)cc1c5c2OCOc2cc4CCN(C)(=O)C3c45,, duguetine-beta-N-oxide,C20H21NO6,371.3890000000001,Duguetia furfuracea (Annonaceae),Natural,alkaloid,isoquinoline alkaloid,,10.1016/j.phymed.2009.03.019;10.1021/cr400552x
6,COc3cc2c(=O)c5nccc4cc1OCOc1c(c2cc3OC)c45,,dicentrinona,C19H13NO5,335.3150000000001,Duguetia furfuracea (Annonaceae),natural,alkaloid,isoquinoline alkaloid,,10.1016/j.phymed.2009.03.019;10.1021/cr400552x; 10.1021/cr400552x
7,COc4ccc3CC2c1cc(OC)c(OC)cc1C=C[NH+]2Cc3c4OC,,N-methylte-trahydropalmatine,C21H24NO4+,354.4260000000001,Duguetia furfuracea (Annonaceae),natural,alkaloid,isoquinoline alkaloid,,10.1016/j.phymed.2009.03.019;10.1021/cr400552x; 10.1021/cr400552x
8,COC1=CC2=C(CC1OC)c4c(OC)c(OC)cc3CC[N+](C)(C)C(C2)c34,,N-methylglaucine,C22H30NO4+,372.4850000000002,Duguetia furfuracea (Annonaceae),natural, alkaloid,isoquinoline alkaloid,,10.1016/j.phymed.2009.03.019;10.1021/cr400552x; 10.1021/cr400552x
9,COc1ccc3c(c1)cc5NCCc4cc2OCOc2c3c45,,"Xylopine  
",C18H17NO3,295.3325,Guatteria amplifolia,natural,alkaloid,isoquinoline alkaloid,,;10.1021/cr400552x; 10.1055/s-2003-41126
10,COc1cc2c3c(c1OC)-c4ccccc4C[C@@H]3NCC2,"(6aS)-1,2-Dimethoxy-5,6,6a,7-tetrahydro-4H-dibenzo[de,g]quinoline",nornuciferine,C18H19NO2,281.349,Guatteria amplifolia,natural, alkaloid,isoquinoline alkaloid,active,10.1021/cr400552x; 10.1055/s-2003-41126
11,COc1cc2c3c(c1OC)-c4cc5c(cc4CC3NCC2)OCO5,"1,2-Dimethoxy-5,6,6a,7-tetrahydro-4H-benzo[de][1,3]benzodioxolo[5,6-g]quinoline","nornantenine
",C19H19NO4,325.358,Guatteria dumetorum,natural,alkaloid,isoquinoline alkaloid,,10.1021/cr400552x;10.1055/s-2003-41126
12,COc4cc(OC)c3c[n+]2CCc1cc(O)c(OC)cc1c2cc3c4 ,"3-hydroxy-2,9,11-trimethoxy-5,6-dihydroisoquino-[3,2a]isoquinolinylium ",,C20H20NO4,338.38300000000004,stem bark of Tinospora sinensis,natural,alkaloid,isoquinoline alkaloid,,10.1021/cr400552x; 10.1080/14786410802682239
13,COc4cc3C[C@H](C)[N+](c1ccc(OC)c2c(OC)cc(C)cc12)=C(C)c3c(OC)c4 ,,"ancistrocladinium A 
",C26H30NO4+,420.5290000000002,Ancistrocladus ealaensis (Ancistrocladaceae),natural,alkaloid,naphthylisoquinoline alkaloid,,10.1021/cr400552x; 10.1128/AAC.00936-06
15,COc2cc1C[C@H](C)N=C(C)c1c(OC)c2c4c(C)cc3cccc(OC)c3c4O ,"2-[(3S)-6,8-Dimethoxy-1,3-dimethyl-3,4-dihydro-7-isoquinolinyl]-8-methoxy-3-methyl-1-naphthol",ancistrocladidine,C25H27NO4,405.486,Ancistrocladus tanzaniensis (Ancistrocladaceae),natural,alkaloid,naphthylisoquinoline alkaloid,,10.1021/cr400552x
16,COc3cc(OC)c(c1ccc(OC)c2c(OC)cc(C)cc12)c4C[C@H](C)N=C(C)c34 ,"(3S)-5-(4,5-Dimethoxy-7-methyl-1-naphthyl)-6,8-dimethoxy-1,3-dimethyl-3,4-dihydroisoquinoline",ancistrotanzanine B,C26H29NO4,419.5128,,natural,Alkaloid,Naphthylisoquinoline Alkaloid,,10.1021/cr400552x; 
17,COc3cc(OC)c(c2c(C)cc1cccc(OC)c1c2O)c4C[C@H](C)N=C(C)c34,,ancistrotanazanine A,C25H27NO4,405.4940000000002,Ancistrocladus tanzaniensis (Ancistrocladaceae),natural, alkaloid,naphthylisoquinoline alkaloid,,10.1021/cr400552x
18,[H][C@]3(CC)CN2CCc1cc(O)c(OC)cc1[C@]2([H])C[C@]3([H])C[C@@]5(O)NCCc4cc(O)c(OC)cc45,"7',11-Dimethoxyemetan-1',6',10-triol",klugine,C27H36N2O5,468.585,Psychotria klugii,natural,alkaloid,benzoquinolizidine alkaloid,,10.1021/cr400552x
19,[H][C@]3(CC)CN2CCc1cc(OC)c(OC)cc1[C@]2([H])C[C@]3([H])CC5NCCc4cc(O)c(OC)cc45,"7',10,11-Trimethoxyemetan-6'-ol",cephaeline,C28H38N2O4,466.612,Psychotria klugii,natural,alkaloid,benzoquinolizidine alkaloid,,10.1021/cr400552x
20,CN1CCc2cc(c3cc2C1Cc4ccc(c(c4)-c5cc(ccc5O)CC6c7c(cc(c(c7O3)OC)OC)CCN6C)OC)OC,"6,20,21,25-Tetramethoxy-15,30-dimethyl-23-oxa-15,30-diazaheptacyclo[22.6.2.1~3,7~.1~8,12~.1~14,18~.0~22,33~.0~27,31~]pentatriaconta-3(35),4,6,8(34),9,11,18(33),19,21,24,26,31-dodecaen-9-ol","funiferine 
",C38H42N2O6,622.7620000000001,Triclisia patens,natural,alkaloid,benzoquinolizidine alkaloid,,10.1021/cr400552x; 10.1002/ptr.929 
21,[H][C@@]46Cc1ccc(OC)c(c1)c2cc(ccc2O)C[C@@]7([H])c3c(cc(OC)c(O)c3Oc5cc4c(cc5OC)CCN6C)CCN7C,,tiliageine,C37H40N2O6,608.735,Triclisia patens,natural,alkaloid,benzoquinolizidine alkaloid,,10.1021/cr400552x; 10.1002/ptr.929 
22,CN1CCc2cc(c3cc2[C@H]1Cc4ccc(c(c4)Oc5ccc(cc5)C[C@H]6c7c(cc(c(c7O3)OC)OC)CCN6C)O)OC,"6,6',7-Trimethoxy-2,2'-dimethyloxyacanthan-12'-ol",oxyacanthine,C37H40N2O6,608.723,Triclisia patens,natural,alkaloid,benzoquinolizidine alkaloid,,10.1021/cr400552x; 10.1002/ptr.929 
23,CN1CCc2cc(c3cc2[C@@H]1Cc4ccc(cc4)Oc5cc(ccc5OC)C[C@H]6c7c(cc(c(c7O3)O)OC)CCN6C)OC,"(1beta)-6,6',12-Trimethoxy-2,2'-dimethylberbaman-7-ol",fangchinoline,C37H40N2O6,608.723,Triclisia patens,natural,alkaloid,benzoquinolizidine alkaloid,,10.1021/cr400552x; 10.1002/ptr.929 
24,[H][C@]34Cc1ccc(OC)c(c1)Oc2ccc(cc2)C[C@@]8([H])c6c(cc(OC)c7oc5cc(CCN3C)c4cc5oc67)CCN8C,,isotriboline,C36H36N2O5,576.6930000000002,Psychotria klugii,natural,alkaloid,benzoquinolizidine alkaloid,,10.1021/cr400552x; 10.1002/ptr.929 
