CompoundID,SMILES,Common name,Biological Activity,Pathogen,IC50(µM/ml) ,IC50(µg/ml),% Inhibition ,Weight,Origin,Formula,Nature,Family,Subfamily,ID_ref,References,References_
1,C1=CC=C2C(=C1)C3=C(N2O)C(=NC=C3)C4=NC(=NC=C4)N,N-hydroxyannomontine,Active,Leishmania,252.7 ±2.2,,,277.281,Annona fetida (Annonaceae),C15H11N5O,natural,alkaloid,isoquinoline Alkaloid,1,10.1021/cr400552x,
2,C1=CC=C2C(=C1)C3=C(N2O)C(=NC=C3)C4=NC(=NC=C4)N,N-hydroxyannomontine,Active,Leishmania,437.5 ±2.5,,,277.281,Annona fetida (Annonaceae),C15H11N5O,natural,alkaloid,isoquinoline Alkaloid,1,10.1021/cr400552x,
3,"c1ccc2c(c1)c3ccnc(c3[nH]2)c4ccnc(n4)N
",Annomontine,Active,Leishmania,34.8 ±1.5,,,261.281,Annona fetida (Annonaceae),C15H11N5,natural,alkaloid,isoquinoline alkaloid,2,10.1021/cr400552x,
4,CN1CCC2=CC3=C(C4=C2[C@@H]1CC5=CC6=C(C=C54)OCO6)OCO3,neolitsine,Active,Leishmania,15,,,323.343,Guatteria dumetorum (Annonaceae),C19H17NO4,Natural,alkaloid,isoquinoline alkaloid,3,"10.1021/cr400552x;
    10.1055/s-2005-916179",
5,CN1CCC2=CC3=C(C4=C2[C@@H]1CC5=CC6=C(C=C54)OCO6)OCO3,neolitsine,Active,Leishmania,>300,,,323.343,Guatteria dumetorum (Annonaceae),C19H17NO4,Natural,alkaloid,isoquinoline alkaloid,3,"10.1021/cr400552x;
    10.1055/s-2005-916179",
6,O1c2c(OC1)c5c3c(c2)CCNC3Cc6cc4OCOc4cc56,cryptodorine,Active,Leishmania,3 ±0.65,,,309.316,Guatteria dumetorum (Annonaceae),C18H15NO4,Natural,alkaloid,isoquinoline alkaloid,4,10.1021/cr400552x,
7,O1c2c(OC1)c5c3c(c2)CCNC3Cc6cc4OCOc4cc56,cryptodorine,Active,Leishmania,6  ±0.08,,,309.316,Guatteria dumetorum (Annonaceae),C18H15NO4,Natural,alkaloid,isoquinoline alkaloid,4,10.1021/cr400552x,
8,O1c2c(OC1)c5c3c(c2)CCNC3Cc6cc4OCOc4cc56,cryptodorine,Active,Leishmania,>300,,,309.316,Guatteria dumetorum (Annonaceae),C18H15NO4,Natural,alkaloid,isoquinoline alkaloid,4,10.1021/cr400552x,
9,COc1cc3c(cc1OC)C(O)C5c4c(cc2OCOc2c34)CCN5C ,duguetine,Active,Leishmania,4.32,,,355.39," stem bark of
Duguetia furfuracea (Annonaceae)",C20H21NO5,Natural,alkaloid,isoquinoline alkaloid,5,10.1021/cr400552x   ,  10.1016/j.phymed.2009.03.019
10,[H][C@]3(O)c1cc(OC)c(OC)cc1c5c2OCOc2cc4CCN(C)(=O)C3c45, duguetine-beta-N-oxide,Active,Leishmania,0.11,,,371.389,Duguetia furfuracea (Annonaceae),C20H21NO6,Natural,alkaloid,isoquinoline alkaloid,6,10.1021/cr400552x  ,  10.1016/j.phymed.2009.03.019
