,Unnamed: 0,IDcmpd,ID_zinc,ID_chemspider,smiles,chemical_name,common_name,formula,weight,origin,nature,family,sub_family,hydrophobicity_index,active_moeity,other_activities,active_or_inactive,refs,AUC_0t,AUC_tinf,Rareas,Kd,Ke,Kd_hld,Ke_hlt,MRT,Vd,Cl,Tmax,Cpmax,pk_method,PPD,PPD_method,internal_standard,effect_types,animal_models,animal_weights,administration_routes,Dose,ID_test_type,taxid_path,strains,active_inactivec,IC50micromol,IC50microgML,MEC,IC90,MIC,IC_totallysis,IC_pourc,pourcentage,ICpourc_positive,pourcentage_positive,EC50,LD50,ED50,GI50,survival_index,IC_surv,cell_type,host_cell,animal_model,nbr_animal,animal_weight,age,experimental_model,dose,administration_route,treatment_periode,evaluation_method,studied_parameters,positive_control,selectivity_index,IC50_positive,IC90_positivec,LD50_positive,EC50_positive,ED50_positive,negative_control,IC50_negative,leishmanicide_activitie,cytotoxicity_degree,result,positive_result,effect_type
0,0,1,,9862453,C1=CC=C2C(=C1)C3=C(N2O)C(=NC=C3)C4=NC(=NC=C4)N,1-(2-Amino-4-pyrimidinyl)-9H-beta-carbolin-9-ol,N-hydroxyannomontine,C15H11N5O,277.281,Annona fetida (Annonaceae),natural,alkaloid,isoquinoline Alkaloid,,,,,10.1021/cr400552x,,,,,,,,,,0.000,,,,,,,,,,,,Extracellular,lbraz,,,252.7 ±2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,pentamidine,,"2.9 ±0,3 micromol
",,,,,,,,,,,
1,1,1,,9862453,C1=CC=C2C(=C1)C3=C(N2O)C(=NC=C3)C4=NC(=NC=C4)N,1-(2-Amino-4-pyrimidinyl)-9H-beta-carbolin-9-ol,N-hydroxyannomontine,C15H11N5O,277.281,Annona fetida (Annonaceae),natural,alkaloid,isoquinoline Alkaloid,,,,,10.1021/cr400552x,,,,,,,,,,0.000,,,,,,,,,,,,Extracellular,lguya,,,437.5 ±2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,pentamidine,,"2.9 ±0,3 micromol",,,,,,,,,,,
2,2,2,13365915.0,4422827,"c1ccc2c(c1)c3ccnc(c3[nH]2)c4ccnc(n4)N
",4-(9H-beta-Carbolin-1-yl)-2-pyrimidinamine,Annomontine,C15H11N5,261.281,Annona fetida (Annonaceae),natural,alkaloid,isoquinoline alkaloid,,,,inactive against L. guyanensis promastigotes,10.1021/cr400552x,,,,,,,,,,0.000,,,,,,,,,,,,Extracellular,lbraz,,,34.8 ±1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,pentamidine,,"2.9 ±0,3 micromol
",,,,,,,,,,,
3,3,3,,8240318,CN1CCC2=CC3=C(C4=C2[C@@H]1CC5=CC6=C(C=C54)OCO6)OCO3,"(7aS)-7-Methyl-6,7,7a,8-tetrahydro-5H-bis[1,3]benzodioxolo[6,5,4-de:5,6-g]quinoline",neolitsine,C19H17NO4,323.343,Guatteria dumetorum (Annonaceae),Natural,alkaloid,isoquinoline alkaloid,,the methylenedioxy moiety,,,"10.1021/cr400552x;
    10.1055/s-2005-916179",,,,,,,,,,0.000,,,,,,,,,,,,Extracellular,lmexc,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,amphotericin B,,0.1 micromol,,,,,,,,,,,
4,4,3,,8240318,CN1CCC2=CC3=C(C4=C2[C@@H]1CC5=CC6=C(C=C54)OCO6)OCO3,"(7aS)-7-Methyl-6,7,7a,8-tetrahydro-5H-bis[1,3]benzodioxolo[6,5,4-de:5,6-g]quinoline",neolitsine,C19H17NO4,323.343,Guatteria dumetorum (Annonaceae),Natural,alkaloid,isoquinoline alkaloid,,the methylenedioxy moiety,,,"10.1021/cr400552x;
    10.1055/s-2005-916179",,,,,,,,,,0.000,,,,,,,,,,,,Hostcell,lmexc,,,>300,,,,,,,,,,,,,,,,murine macrophages and VERO cells,,,,,,,,,,,,, 25.1,,,,,,,,,low toxicity,,,
5,5,4,,9613142,O1c2c(OC1)c5c3c(c2)CCNC3Cc6cc4OCOc4cc56,"6,7,7a,8-Tetrahydro-5H-bis[1,3]benzodioxolo[6,5,4-de:5',6'-g]quinoline",cryptodorine,C18H15NO4,309.316,Guatteria dumetorum (Annonaceae),Natural,alkaloid,isoquinoline alkaloid,,,,,10.1021/cr400552x,,,,,,,,,,0.000,,,,,,,,,,,,Extracellular,lmexc,MOHM/B2/82/BGLZ,,3 ±0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,amphotericin B,,0.1 ±0.004 micromol,,,,,,,,,,,
6,6,4,,9613142,O1c2c(OC1)c5c3c(c2)CCNC3Cc6cc4OCOc4cc56,"6,7,7a,8-Tetrahydro-5H-bis[1,3]benzodioxolo[6,5,4-de:5',6'-g]quinoline",cryptodorine,C18H15NO4,309.316,Guatteria dumetorum (Annonaceae),Natural,alkaloid,isoquinoline alkaloid,,,,,10.1021/cr400552x,,,,,,,,,,0.000,,,,,,,,,,,,Extracellular,lpana,MOHM/PA/71/LS91,,6  ±0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,amphotericin B,,0.1 ±0.004 micromol,,,,,,,,,,,
7,7,4,,9613142,O1c2c(OC1)c5c3c(c2)CCNC3Cc6cc4OCOc4cc56,"6,7,7a,8-Tetrahydro-5H-bis[1,3]benzodioxolo[6,5,4-de:5',6'-g]quinoline",cryptodorine,C18H15NO4,309.316,Guatteria dumetorum (Annonaceae),Natural,alkaloid,isoquinoline alkaloid,,,,,10.1021/cr400552x,,,,,,,,,,0.000,,,,,,,,,,,,Hostcell,lmexc,,,>300,,,,,,,,,,,,,,,,"murine macrophages and VERO cells
",,,,,,,,,,,,,21.3,,,,,,,,,low toxicity,,,
8,8,5,,,COc1cc3c(cc1OC)C(O)C5c4c(cc2OCOc2c34)CCN5C ,"
",duguetine,C20H21NO5,355.3900000000002," stem bark of
Duguetia furfuracea (Annonaceae)",Natural,alkaloid,isoquinoline alkaloid,,,antitumoral activit,,10.1016/j.phymed.2009.03.019;10.1021/cr400552x,,,,,,,,,,0.000,,,,,,,,,,,,Extracellular,lbraz,MHOM/BR175/M2904,,4.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,amphotericin B,,22 micromol,,,,,,,,,,,
9,9,6,,,[H][C@]3(O)c1cc(OC)c(OC)cc1c5c2OCOc2cc4CCN(C)(=O)C3c45,, duguetine-beta-N-oxide,C20H21NO6,371.3890000000001,Duguetia furfuracea (Annonaceae),Natural,alkaloid,isoquinoline alkaloid,,,antitumoral activity,,10.1016/j.phymed.2009.03.019;10.1021/cr400552x,,,,,,,,,,0.000,,,,,,,,,,,,Extracellular,lbraz,MHOM/BR175/M2904,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,amphotericin B,,22 micromol,,,,,,,,,,,
