ID_compound,SMILES,Common name,Biological Activity,Pathogen,Category,IC50 (µM),Experiment Type,IC50(µg/ml),CC50,Ki,EC50_invitro,EC50 viral,% Inhibition,Tested at [C],Weight,Origin,Formula,Family,Sub family,Nature,Reference,ID_ref,PUBCHEM_CID
1,C[C@@H](NC(=O)c1c(C)ccc(N)c1)c1cccc2c1cccc2,,Active,SARS_CoV-2,PLpro_cov-2,,,,,,,,,,304.393,,C20H20N2O,,,,7CJM.pdb,,
2,C[C@@H](NC(=O)c1c(C)ccc(N)c1)c1cccc2c1cccc2,,Active,SARS_CoV-2,PLpro_cov-2,,,,,,,,,,304.393,,C20H20N2O,,,,7CJM.pdb,,
3,C[C@@H](NC(=O)c1c(C)ccc(N)c1)c1cccc2c1cccc2,,Active,SARS_CoV-2,PLpro_cov-2,,,,,,,,,,304.393,,C20H20N2O,,,,7CJM.pdb,,
4,C[C@@H](NC(=O)c1c(C)ccc(N)c1)c1cccc2c1cccc2,,Active,SARS_CoV-2,PLpro_cov-2,,,,,,,,,,304.393,,C20H20N2O,,,,7CJM.pdb,,
5,CCOC(=O)C1=C(SC(=C1C2=CC=CC=C2)C(C(F)(F)F)(C(F)(F)F)O)N,,Active,SARS_CoV,3CLpro_cov,,,,,,,,12.33,6 µM,413.339,,C16H13F6NO3S,,,,AID_1706,,2320755
6,CCC1=NC=CC(=C1)C(=S)N,,Inactive,SARS_CoV,3CLpro_cov,,,,,,,,0.78,6 µM,166.249,,C8H10N2S,,,,AID_1706,,2761171
7,COC1=CC=C(C=C1)N(CC2=CC3=CC=CC=C3NC2=O)S(=O)(=O)C4=CC=C(C=C4)OC,,Active,SARS_CoV,3CLpro_cov,,,,,,,,15.77,6 µM,450.516,,C24H22N2O5S,,,,AID_1706,,4900532
8,O=C(Cn1nnc2ccccc21)c1ccc(Cl)cc1,,Active,SARS_CoV,3CLpro_cov,9.908,Enzymo,,,,,,,,271.707,,C14H10ClN3O,,,,AID_1890,,677475
9,CC1=CC=C(C=C1)N2C(=CC(=C2C)/C=N/NC(=S)N)C,,Active,SARS_CoV,PLpro_cov,,,,,,,,,,286.404,,C15H18N4S,,,,AID_652038,,5346381
10,CN(C)CCCSC1=CC=CC=C1NC(=O)/C=C/C2=CC=CC=C2,cinanserin,Active,SARS_CoV,3CLpro_cov,4.92,Enzymo,,,,31,,,,340.492,,C20H24N2OS,,,,10.1128/JVI.79.11.7095–7103.2005,,
11,C1=CC=C(C=C1)CN2C=C(C(=N2)C3=CN=CC=C3)C=O,,Active,SARS_CoV,3CLpro_cov,,,,,,,,39.48,6 µM,263.3,,C16H13N3O,,,,AID_1706,,2497380
12,CSC1=CC=CC(=C1)NC(=O)CC2=CC=CC=C2[N+](=O)[O-],,Active,SARS_CoV,3CLpro_cov,,,,,,,,13.64,6 µM,302.355,,C15H14N2O3S,,,,AID_1706,,951610
13,C(NC(=O)c1ccn(C)n1)[C@@H]1CCCO1,JGY.pdb,Active,SARS_CoV-2,3CLpro_cov-2,,,,,,,,,,209.249,,C10H15N3O2,,,,5rfa.pdb,,
14,CC1=CC=C(C=C1)/C=C/C(=O)C2=C(C=CC(=C2)Br)OC(=O)C3=CC=CO3,,Active,SARS_CoV,3CLpro_cov,,,,,,,,23.1,6 µM,411.251,,C21H15BrO4,,,,AID_1706,,5735038
15,CN1C(=CN=C1COC(=O)N)[N+](=O)[O-],,Inactive,SARS_CoV,3CLpro_cov,,,,,,,,0.79,6 µM,200.154,,C6H8N4O4,,,,AID_1706,,5094
16,CCN(CC)S(=O)(=O)C1=CC=CC(=C1)C(=O)N/N=C/C2=C(C(=C(C=C2)O)O)O,,Active,SARS_CoV,PLpro_cov,,,,,,,,,,407.448,,C18H21N3O6S,,,,AID_652038,,135401277
17,CC1=C(SC(=N1)N/N=C\C2=CC3=C(C=C2)OCO3)C,,Active,SARS_CoV,PLpro_cov,,,,,,,,,,275.333,,C13H13N3O2S,,,,AID_652038,,5727207
18,C[C@]12CCC(=O)C=C1[C@H](C[C@@H]3[C@@H]2[C@H](C[C@]4([C@H]3C[C@@H]5[C@]4(OC(O5)(C)C)C(=O)CO)C)O)F,,Inactive,SARS_CoV,3CLpro_cov,,,,,,,,0.54,6 µM,436.52,,C24H33FO6,,,,AID_1706,,15209
19,CCOC(=O)C1=C(OC2=C1C3=C(C4=CC=CC=C42)OCN(C3)CC5=CC=CC=N5)C,,Active,SARS_CoV,3CLpro_cov,,,,,,,,12.6,6 µM,402.45,,C24H22N2O4,,,,AID_1706,,1189783
20,CC1=CC(=CS1)C2=NNC(=S)N2CC(C)C,,Active,SARS_CoV,PLpro_cov,,,,,,,,,,253.396,,C11H15N3S2,,,,AID_652038,,843678
21,CC1=C(C(=O)N(N1C)C2=CC=CC=C2)NC(=O)C3=CN=CC=C3,,Inactive,SARS_CoV,3CLpro_cov,,,,,,,,4.49,6 µM,308.341,,C17H16N4O2,,,,AID_1706,,4487
22,CC1=CC(=C(C(=C1)C)NC2=NC(=NC=C2)NC3=CC=C(C=C3)C#N)C,,Active,SARS_CoV-2,,0.73,Viral,,,,,,,,329.407,,C20H19N5,,,,AID_1409599,,214347
23,[H][C@H](NC(=O)OCc1ccccc1)C(=O)N[C@@H](CCC(=O)N(C)C)C(=O)CF,,Inactive,SARS_CoV,3CLpro_cov,,,,>100,,101,,,,381.404,,C18H24FN3O5,,,,10.1021/acs.jmedchem.5b01461,52,
24,Cn5ccc(CN(C(=O)Cn2nnc1ccccc12)c4ccc(c3ccccc3)cc4)c5,,Active,SARS_CoV,3CLpro_cov,0.051,Enzymo,,,,,,,,421.504,,C26H23N5O,,,,10.1021/acs.jmedchem.5b01461,167,
25,CC1=C(C=CC=C1[N+](=O)[O-])C(=O)NC(=S)NC2=CC=CC=C2N3CCCC3,,Active,SARS_CoV,PLpro_cov,,,,,,,,,,384.461,,C19H20N4O3S,,,,AID_652038,,1308688
26,C1=C(N=C(S1)N=C(N)N)CSCC/C(=N/S(=O)(=O)N)/N,,Inactive,SARS_CoV,3CLpro_cov,,,,,,,,-0.81,6 µM,337.456,,C8H15N7O2S3,,,,AID_1706,,5702160
27,CC(C)CNS(=O)(=O)C1=CC=C(C=C1)CCC(=O)NC2=C(C=CC(=C2)Cl)OC3=CC=CC=C3,,Active,SARS_CoV,3CLpro_cov,,,,,,,,12.44,6 µM,487.021,,C25H27ClN2O4S,,,,AID_1706,,1007780
28,O=C(Nc1ccccc1)NN(C(=O)CCl)c1ccccc1,,Active,SARS_CoV,3CLpro_cov,9.636,Enzymo,,,,,,,,303.749,,C15H14ClN3O2,,,,AID_1890,,4868361
29,CN(C)CCN1C2=CC=CC=C2C(=C1C(=O)N3CCN(CC3)C4=CC=CC=C4Cl)C(C5=CC=C(C=C5)O)C6=CC=C(C=C6)O,,Active,SARS_CoV-2,,,,,,,,1.2,,,609.17,,C36H37ClN4O3,,,,AID_1409578,,3025960
30,CC1(C(N2C(S1)C(C2=O)NC(=O)CC3=CC=CC=C3)C(=O)O)C,penicillin G,Active,,,,,,,,,,,,334.397,,C16H18N2O4S,,,,ResNet-Elsevier,,5904
31,O=C(O)c1ccc(S(=O)(=O)c2cc(Br)c(O)c(Br)c2)cc1,,Active,SARS_CoV,3CLpro_cov,16,Enzymo,,,,,,,,436.077,,C13H8Br2O5S,,,,AID_269112,,
32,CCOC(=O)/C=C/[C@H](C[C@@H]1CCNC1=O)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](NC(=O)OCc2ccccc2)C(C)OC(C)(C)C,,Active,SARS_CoV,3CLpro_cov,0.88,Enzymo,,,0.05,,,,,630.783,,C33H50N4O8,,,,10.1021/acs.jmedchem.5b01461,18,
33,O=C(c1ccc(-c2ccc(Cl)cc2)o1)C(F)c1cncc(Br)c1,,Active,SARS_CoV,3CLpro_cov,28,Enzymo,,,,,,,,394.627,,C17H10BrClFNO2,,,,https://doi.org/10.1016/j.bioorg.2008.01.001,,
34,CC1(O[C@@H]2CO[C@@]3([C@H]([C@@H]2O1)OC(O3)(C)C)COS(=O)(=O)N)C,,Inactive,SARS_CoV,3CLpro_cov,,,,,,,,-2.04,6 µM,339.366,,C12H21NO8S,,,,AID_1706,,5284627
35,C1=CC2=C(C(=C1)O)N=CC=C2,,Inactive,SARS_CoV,3CLpro_cov,,,,,,,,-2.92,6 µM,145.161,,C9H7NO,,,,AID_1706,,1923
