,smiles,common_name,IC50micromol,IC50microgML,formula,weight,origin,nature,family,sub_family,active_or_inactive,refs
0,C1=CC=C2C(=C1)C3=C(N2O)C(=NC=C3)C4=NC(=NC=C4)N,N-hydroxyannomontine,252.7 ±2.2,,C15H11N5O,277.281,Annona fetida (Annonaceae),natural,alkaloid,isoquinoline Alkaloid,active,10.1021/cr400552x
1,C1=CC=C2C(=C1)C3=C(N2O)C(=NC=C3)C4=NC(=NC=C4)N,N-hydroxyannomontine,437.5 ±2.5,,C15H11N5O,277.281,Annona fetida (Annonaceae),natural,alkaloid,isoquinoline Alkaloid,active,10.1021/cr400552x
2,"c1ccc2c(c1)c3ccnc(c3[nH]2)c4ccnc(n4)N
",Annomontine,34.8 ±1.5,,C15H11N5,261.281,Annona fetida (Annonaceae),natural,alkaloid,isoquinoline alkaloid,active,10.1021/cr400552x
3,CN1CCC2=CC3=C(C4=C2[C@@H]1CC5=CC6=C(C=C54)OCO6)OCO3,neolitsine,15,,C19H17NO4,323.343,Guatteria dumetorum (Annonaceae),Natural,alkaloid,isoquinoline alkaloid,active,"10.1021/cr400552x;
    10.1055/s-2005-916179"
4,CN1CCC2=CC3=C(C4=C2[C@@H]1CC5=CC6=C(C=C54)OCO6)OCO3,neolitsine,>300,,C19H17NO4,323.343,Guatteria dumetorum (Annonaceae),Natural,alkaloid,isoquinoline alkaloid,active,"10.1021/cr400552x;
    10.1055/s-2005-916179"
5,O1c2c(OC1)c5c3c(c2)CCNC3Cc6cc4OCOc4cc56,cryptodorine,3 ±0.65,,C18H15NO4,309.316,Guatteria dumetorum (Annonaceae),Natural,alkaloid,isoquinoline alkaloid,active,10.1021/cr400552x
6,O1c2c(OC1)c5c3c(c2)CCNC3Cc6cc4OCOc4cc56,cryptodorine,6  ±0.08,,C18H15NO4,309.316,Guatteria dumetorum (Annonaceae),Natural,alkaloid,isoquinoline alkaloid,active,10.1021/cr400552x
7,O1c2c(OC1)c5c3c(c2)CCNC3Cc6cc4OCOc4cc56,cryptodorine,>300,,C18H15NO4,309.316,Guatteria dumetorum (Annonaceae),Natural,alkaloid,isoquinoline alkaloid,active,10.1021/cr400552x
8,COc1cc3c(cc1OC)C(O)C5c4c(cc2OCOc2c34)CCN5C ,duguetine,4.32,,C20H21NO5,355.3900000000002," stem bark of
Duguetia furfuracea (Annonaceae)",Natural,alkaloid,isoquinoline alkaloid,active,10.1016/j.phymed.2009.03.019;10.1021/cr400552x
9,[H][C@]3(O)c1cc(OC)c(OC)cc1c5c2OCOc2cc4CCN(C)(=O)C3c45, duguetine-beta-N-oxide,0.11,,C20H21NO6,371.3890000000001,Duguetia furfuracea (Annonaceae),Natural,alkaloid,isoquinoline alkaloid,active,10.1016/j.phymed.2009.03.019;10.1021/cr400552x
10,COc3cc2c(=O)c5nccc4cc1OCOc1c(c2cc3OC)c45,dicentrinona,0.01,,C19H13NO5,335.3150000000001,Duguetia furfuracea (Annonaceae),natural,alkaloid,isoquinoline alkaloid,active,10.1016/j.phymed.2009.03.019;10.1021/cr400552x; 10.1021/cr400552x
11,COc4ccc3CC2c1cc(OC)c(OC)cc1C=C[NH+]2Cc3c4OC,N-methylte-trahydropalmatine,17.03,,C21H24NO4+,354.4260000000001,Duguetia furfuracea (Annonaceae),natural,alkaloid,isoquinoline alkaloid,active,10.1016/j.phymed.2009.03.019;10.1021/cr400552x; 10.1021/cr400552x
12,COC1=CC2=C(CC1OC)c4c(OC)c(OC)cc3CC[N+](C)(C)C(C2)c34,N-methylglaucine,4.88,,C22H30NO4+,372.4850000000002,Duguetia furfuracea (Annonaceae),natural, alkaloid,isoquinoline alkaloid,active,10.1016/j.phymed.2009.03.019;10.1021/cr400552x; 10.1021/cr400552x
