,ID_compound,SMILES,Common name,Biological Activity,Pathogen,Category,IC50 (µM),IC50(µg/ml),% Inhibition,Tested at [C],Molecular Weight,Origin,Formula,Reference,PUBCHEM_CID
0,1,C1=CC=C2C(=C1)C3=C(N2O)C(=NC=C3)C4=NC(=NC=C4)N,N-hydroxyannomontine,Active,Leishmania,Extracellular,252.7 ±2.2,,,,277.28,Annona fetida (Annonaceae),C15H11N5O,10.1021/cr400552x,0
1,2,C1=CC=C2C(=C1)C3=C(N2O)C(=NC=C3)C4=NC(=NC=C4)N,N-hydroxyannomontine,Active,Leishmania,Extracellular,437.5 ±2.5,,,,277.28,Annona fetida (Annonaceae),C15H11N5O,10.1021/cr400552x,0
2,3,"c1ccc2c(c1)c3ccnc(c3[nH]2)c4ccnc(n4)N
",Annomontine,Active,Leishmania,Extracellular,34.8 ±1.5,,,,261.28,Annona fetida (Annonaceae),C15H11N5,10.1021/cr400552x,0
3,4,CN1CCC2=CC3=C(C4=C2[C@@H]1CC5=CC6=C(C=C54)OCO6)OCO3,neolitsine,Active,Leishmania,Extracellular,15,,,,323.34,Guatteria dumetorum (Annonaceae),C19H17NO4,"10.1021/cr400552x;
    10.1055/s-2005-916179",0
4,5,CN1CCC2=CC3=C(C4=C2[C@@H]1CC5=CC6=C(C=C54)OCO6)OCO3,neolitsine,Active,Leishmania,Extracellular,>300,,,,323.34,Guatteria dumetorum (Annonaceae),C19H17NO4,"10.1021/cr400552x;
    10.1055/s-2005-916179",0
5,6,O1c2c(OC1)c5c3c(c2)CCNC3Cc6cc4OCOc4cc56,cryptodorine,Active,Leishmania,Extracellular,3 ±0.65,,,,309.32,Guatteria dumetorum (Annonaceae),C18H15NO4,10.1021/cr400552x,0
6,7,O1c2c(OC1)c5c3c(c2)CCNC3Cc6cc4OCOc4cc56,cryptodorine,Active,Leishmania,Extracellular,6  ±0.08,,,,309.32,Guatteria dumetorum (Annonaceae),C18H15NO4,10.1021/cr400552x,0
7,8,O1c2c(OC1)c5c3c(c2)CCNC3Cc6cc4OCOc4cc56,cryptodorine,Active,Leishmania,Extracellular,>300,,,,309.32,Guatteria dumetorum (Annonaceae),C18H15NO4,10.1021/cr400552x,0
8,9,COc1cc3c(cc1OC)C(O)C5c4c(cc2OCOc2c34)CCN5C,duguetine,Active,Leishmania,Extracellular,4.32,,,,355.39," stem bark of
Duguetia furfuracea (Annonaceae)",C20H21NO5,"10.1021/cr400552x;
   10.1016/j.phymed.2009.03.019 ",0
9,10,[H][C@]3(O)c1cc(OC)c(OC)cc1c5c2OCOc2cc4CCN(C)(=O)C3c45,duguetine-beta-N-oxide,Active,Leishmania,Extracellular,0.11,,,,371.39,Duguetia furfuracea (Annonaceae),C20H21NO6,"10.1021/cr400552x;
   10.1016/j.phymed.2009.03.019 ",0
